"iata","name","country_iso","city","elevation_ft","latitude_deg","longitude_deg"
"KWK","Kwigillingok, AK","US","Kwigillingok",18.0,59.8765,-163.169
"KWL","GUILIN","CN","Guilin",570.0,25.2198,110.04
"KWM","Kowanyama, QL","AU","Kowanyama",35.0,-15.4852,141.752
"KWN","Quinhagak, AK","US","Quinhagak",42.0,59.7551,-161.845
"KWO","Kawito","PG","Kawito",72.0,-7.97701,142.824
"KWS","Kwailabesi","SB","Kwailabesi",52.0,-8.36051,160.775
"KWT","Kwethluk, AK","US","Kwethluk",25.0,60.7903,-161.444
"KWY","Kiwayu","KE","Kiwayu",21.0,-1.96056,41.2975
"KWZ","Kolwezi","CD","",5007.0,-10.7659,25.5057
"KXE","Klerksdorp","ZA","Klerksdorp",4444.0,-26.8711,26.718
"KXF","Koro","FJ","Koro Island",358.0,-17.3458,179.422
"KXK","Komsomolsk Na Amure","RU","Komsomolsk-on-Amur",92.0,50.409,136.934
"KYA","Konya","TR","Konya",3392.0,37.979,32.5619
"KYD","Orchid Island","TW","Orchid Island",44.0,22.027,121.535
"KYE","Rene Mouawad","LB","Kleyate",75.0,34.5893,36.0113
"KYK","Karluk, AK","US","Karluk",137.0,57.5671,-154.45
"KYO","Topp of Tampa, FL","US","Tampa",68.0,28.2213,-82.3745
"KYP","Kyaukpyu","MM","Kyaukpyu",20.0,19.4264,93.5348
"KYS","Kayes","ML","",164.0,14.4812,-11.4044
"KYT","Kyauktu","MM","Kyauktu",1250.0,21.4,94.1333
"KYU","Koyukuk, AK","US","Koyukuk",149.0,64.8761,-157.727
"KYX","Yalumet","PG","Yalumet",2600.0,-6.09,147.012
"KYZ","Kyzyl","RU","Kyzyl",2123.0,51.6694,94.4006
"KZC","Kompong Chnang","KH","Kampong Chhnang",56.0,12.255,104.565
"KZD","Krkor","KH","Krakor",62.0,12.5385,104.149
"KZF","Kaintiba","PG","Kaintiba",2050.0,-7.50025,146.034
"KZG","Kitzingen","DE","Kitzingen",689.0,49.7431,10.2006
"KZI","Filippos","GR","Kozani",2059.0,40.2861,21.8408
"KZN","Kazan","RU","Kazan",411.0,55.6062,49.2787
"KZO","Kzyl Orda","KZ","Kyzylorda",433.0,44.7069,65.5925
"KZR","Zafer","TR","Kuyucak",3327.0,39.1131,30.1281
"KZS","Kastelorizo","GR","Kastelorizo Island",489.0,36.1417,29.5764
"LAA","Lamar Field, CO","US","Lamar",3706.0,38.0661,-102.69
"LAB","Lablab","PG","Lab Lab Mission",160.0,-5.7204,148.057
"LAC","Pulau Layang Layang Island","MY","Pulau Layang-Layang (Swallow Reef)",7.0,7.37157,113.844
"LAD","Luanda","AO","Luanda",243.0,-8.85837,13.2312
"LAE","Lae","PG","Lae",239.0,-6.5698,146.726
"LAF","Lafayette","US","Lafayette",606.0,40.4123,-86.9369
"LAG","La Guaira","VE","La Guaira",2569.0,10.5333,-67.0333
"LAH","Usman Sadik","ID","Labuhu",49.0,-0.635259,127.502
"LAI","Lannion","FR","Lannion",290.0,48.7544,-3.47166
"LAJ","Lages, SC","BR","Lages",3065.0,-27.7821,-50.2815
"LAK","Aklavik, NT","CA","Aklavik",23.0,68.2233,-135.006
"LAL","Linder Regional, FL","US","Lakeland",142.0,27.9889,-82.0186
"LAM","Los Alamos, NM","US","Los Alamos",7171.0,35.8798,-106.269
"LAN","Lansing","US","Lansing",861.0,42.7787,-84.5874
"LAO","Int'l, LO","PH","Laoag",25.0,18.1761,120.531
"LAP","La Paz","MX","La Paz",69.0,24.0727,-110.362
"LAQ","Labraq","LY","El Beida",2157.0,32.7887,21.9643
"LAR","Laramie","US","Laramie",7284.0,41.3121,-105.675
"LAS","Las Vegas","US","Las Vegas",2181.0,36.0834,-115.152
"LAU","Lamu","KE","Lamu",20.0,-2.25243,40.9129
"LAW","Lawton","US","Lawton",1110.0,34.5677,-98.4166
"LAX","Los Angeles","US","Los Angeles",125.0,33.9425,-118.408
"LAY","Ladysmith","ZA","Ladysmith",3548.0,-28.5817,29.7497
"LAZ","Bom Jesus da Lapa, BA","BR","Bom Jesus da Lapa",1454.0,-13.2621,-43.4081
"LBA","Leeds Bradford","GB","Leeds",681.0,53.8659,-1.66057
"LBB","Lubbock","US","Lubbock",3282.0,33.6636,-101.823
"LBC","Lubeck","DE","Lubeck",53.0,53.8054,10.7192
"LBD","Khudzhand","TJ","Khujand",1450.0,40.2154,69.6947
"LBE","Westmoreland County, PA","US","Latrobe",1199.0,40.2759,-79.4048
"LBF","Leo Bird Regional, NE","US","North Platte",2777.0,41.1262,-100.684
"LBG","Paris Le Bourget","FR","Paris",218.0,48.9694,2.44139
"LBH","Palm Beach SPB, NS","AU","Sydney",0.0,-33.5871,151.323
"LBI","Albi","FR","Albi",564.0,43.9139,2.11306
"LBJ","Mutiara 2","ID","Labuan Bajo",66.0,-8.48069,119.888
"LBK","Liboi","KE","Liboi",280.0,0.348333,40.8817
"LBL","Municipal, KS","US","Liberal",2885.0,37.0442,-100.96
